Question,Answer
What is AI?,Artificial Intelligence is the simulation of human intelligence in machines.
What is Machine Learning?,Machine Learning is a subset of AI that learns patterns from data.
What is Deep Learning?,Deep Learning uses multi-layer neural networks.
What is NLP?,Natural Language Processing enables computers to understand human language.
What is Computer Vision?,Computer Vision enables computers to analyze images and videos.
What is Python?,Python is a versatile programming language.
What is a variable in Python?,A variable stores data.
What is a function?,A function is a reusable block of code.
What is a list?,A list is an ordered mutable collection.
What is a dictionary?,A dictionary stores key-value pairs.
What is C?,C is a procedural programming language.
What is a pointer?,A pointer stores the memory address of another variable.
What is an array?,An array stores multiple values of the same type.
What is a structure?,A structure groups different data types together.
What is a loop?,A loop repeats a block of code.
What is HTML?,HTML structures web pages.
What is CSS?,CSS styles web pages.
What is JavaScript?,JavaScript adds interactivity to web pages.
What is Streamlit?,Streamlit builds web apps using Python.
What is Git?,Git is a version control system.
What is AI? (Artificial Intelligence Practice 1),Artificial Intelligence is the simulation of human intelligence in machines.
What is Machine Learning? (Artificial Intelligence Practice 1),Machine Learning is a subset of AI that learns patterns from data.
What is Deep Learning? (Artificial Intelligence Practice 1),Deep Learning uses multi-layer neural networks.
What is NLP? (Artificial Intelligence Practice 1),Natural Language Processing enables computers to understand human language.
What is Computer Vision? (Artificial Intelligence Practice 1),Computer Vision enables computers to analyze images and videos.
What is AI? (Artificial Intelligence Practice 2),Artificial Intelligence is the simulation of human intelligence in machines.
What is Machine Learning? (Artificial Intelligence Practice 2),Machine Learning is a subset of AI that learns patterns from data.
What is Deep Learning? (Artificial Intelligence Practice 2),Deep Learning uses multi-layer neural networks.
What is NLP? (Artificial Intelligence Practice 2),Natural Language Processing enables computers to understand human language.
What is Computer Vision? (Artificial Intelligence Practice 2),Computer Vision enables computers to analyze images and videos.
What is AI? (Artificial Intelligence Practice 3),Artificial Intelligence is the simulation of human intelligence in machines.
What is Machine Learning? (Artificial Intelligence Practice 3),Machine Learning is a subset of AI that learns patterns from data.
What is Deep Learning? (Artificial Intelligence Practice 3),Deep Learning uses multi-layer neural networks.
What is NLP? (Artificial Intelligence Practice 3),Natural Language Processing enables computers to understand human language.
What is Computer Vision? (Artificial Intelligence Practice 3),Computer Vision enables computers to analyze images and videos.
What is AI? (Artificial Intelligence Practice 4),Artificial Intelligence is the simulation of human intelligence in machines.
What is Machine Learning? (Artificial Intelligence Practice 4),Machine Learning is a subset of AI that learns patterns from data.
What is Deep Learning? (Artificial Intelligence Practice 4),Deep Learning uses multi-layer neural networks.
What is NLP? (Artificial Intelligence Practice 4),Natural Language Processing enables computers to understand human language.
What is Computer Vision? (Artificial Intelligence Practice 4),Computer Vision enables computers to analyze images and videos.
What is AI? (Artificial Intelligence Practice 5),Artificial Intelligence is the simulation of human intelligence in machines.
What is Machine Learning? (Artificial Intelligence Practice 5),Machine Learning is a subset of AI that learns patterns from data.
